name,ring,quadrant,isNew
Python 3,Adopt,languages-and-frameworks,TRUE
React,Adopt,languages-and-frameworks,TRUE
Typescript,Adopt,languages-and-frameworks,TRUE
Go,Adopt,languages-and-frameworks,TRUE
Scala,Trial,languages-and-frameworks,TRUE
Kotlin,Assess,languages-and-frameworks,TRUE
Svelte,Assess,languages-and-frameworks,TRUE
Rust,Assess,languages-and-frameworks,TRUE
Elixir,Assess,languages-and-frameworks,TRUE
Julia,Assess,languages-and-frameworks,TRUE
AngularJS,Hold,languages-and-frameworks,TRUE
Java/ Spring Boot,Hold,languages-and-frameworks,TRUE
R,Hold,languages-and-frameworks,TRUE
Python virtual environments,Hold,languages-and-frameworks,TRUE
Ruby on Rails,Hold,languages-and-frameworks,TRUE
PHP,Hold,languages-and-frameworks,TRUE
Gitlab CI/CD,Adopt,Platforms,TRUE
GitHub Actions,Adopt,Platforms,TRUE
CircleCI,Adopt,Platforms,TRUE
AWS API Gateway,Adopt,Platforms,TRUE
AWS Codepipeline,Adopt,Platforms,TRUE
Snowflake,Assess,Platforms,TRUE
SageMaker,Assess,Platforms,TRUE
DataRobot,Assess,Platforms,TRUE
Neo4j,Assess,Platforms,TRUE
"Managed Kubernetes Core (EKS, AKS, GKE)",Assess,Platforms,TRUE
Azure DevOps,Trial,Platforms,TRUE
Azure Functions,Trial,Platforms,TRUE
Apache Kafka,Trial,Platforms,TRUE
Apache Spark,Trial,Platforms,TRUE
Apache Flink,Trial,Platforms,TRUE
Insomnia,Trial,Platforms,TRUE
Jenkins,Hold,Platforms,TRUE
Fairness Frameworks,Adopt,Techniques,TRUE
Object-relational mapping (ORM),Adopt,Techniques,TRUE
Test Driven Development (TDD),Adopt,Techniques,TRUE
Context Driven Design,Adopt,Techniques,TRUE
Riskstorming,Adopt,Techniques,TRUE
Immutable Infrastructure,Adopt,Techniques,TRUE
Pair Programming,Adopt,Techniques,TRUE
Mob Programming,Adopt,Techniques,TRUE
Serverless Containers,Adopt,Techniques,TRUE
Serverless Functions,Adopt,Techniques,TRUE
Zero Trust Architecture,Adopt,Techniques,TRUE
Trunk Based Development,Adopt,Techniques,TRUE
Mono Repo,Adopt,Techniques,TRUE
Infrastructure as Code Testing,Trial,Techniques,TRUE
Behavior Driven Development (BDD),Trial,Techniques,TRUE
MongoDB,Adopt,Tools,TRUE
TensorFlow,Adopt,Tools,TRUE
Terraform,Adopt,Tools,TRUE
Postman,Adopt,Tools,TRUE
Databricks,Adopt,Tools,TRUE
Jest,Adopt,Tools,TRUE
Random Reviewing,Assess,Techniques,TRUE
Automatic Semantic Versioning,Assess,Techniques,TRUE
Autogenerated Documentation,Assess,Techniques,TRUE
Automated Machine Learning (AutoML),Assess,Techniques,TRUE
Machine Learning Model Operationalization Management (MLOps),Assess,Techniques,TRUE
DataOps,Assess,Techniques,TRUE
Production data in test environments,Hold,Techniques,TRUE
Defaulting to Single Page Application,Hold,Techniques,TRUE
Swagger,Adopt,Tools,TRUE
Headless CMS,Adopt,Tools,TRUE
Snyk,Adopt,Tools,TRUE
Cypress,Adopt,Tools,TRUE
"Data Pipeline Tools (dpt, Airflow)",Assess,Tools,TRUE
Tfsec,Assess,Tools,TRUE
Storybook/ Chromatic,Assess,Tools,TRUE
Prometheus/Grafana,Assess,Tools,TRUE
Grype,Assess,Tools,TRUE
Github Codespaces,Assess,Tools,TRUE
Kubeflow,Assess,Tools,TRUE
Gym ,Assess,Tools,TRUE
Azure DataFactory,Assess,Tools,TRUE
"Distributed FileSystems (HDFs, CephFS, GlusterFS)",Assess,Tools,TRUE
Selenium,Assess,Tools,TRUE
Hygen,Assess,Tools,TRUE
Liquibase,Trial,Tools,TRUE
Kubernetes,Trial,Tools,TRUE
Craft CMS,Trial,Tools,TRUE
Netlify CMS,Trial,Tools,TRUE
PyTorch,Trial,Tools,TRUE
Drupal,Hold,Tools,TRUE
Gatsby ,Hold,Tools,TRUE
Cloudformation,Hold,Tools,TRUE
Chef,Hold,Tools,TRUE
Ansible,Hold,Tools,TRUE
"Notebook Tools (jupyterlab, rstudio)",Hold,Tools,TRUE
Enzyme,Hold,Tools,TRUE